mapping, replan, sfc, mpc, 
1.62745, 0.281672, 0.27517, 2.18834, 
0, 0.000145, 0.253526, 1.96658, 
1.27718, 0.000148, 0.245407, 1.91829, 
0, 0.000133, 0.3424, 1.96699, 
0, 0.000162, 0.237924, 1.92908, 
0, 0.000194, 0.252103, 1.909, 
0, 0.000151, 0.270229, 3.15931, 
1.16284, 6.8e-05, 0.249576, 2.1214, 
0, 6e-05, 0.267285, 2.00384, 
0, 0.000155, 0.24318, 2.12381, 
0, 0.000145, 0.23399, 1.98057, 
0, 0.000162, 0.239339, 2.04967, 
2.19001, 0.000187, 0.286089, 2.17496, 
0, 0.000244, 0.350304, 2.41385, 
0, 5e-05, 0.307505, 2.10501, 
0, 0.00016, 0.324128, 2.34129, 
0, 0.000194, 0.355413, 2.56493, 
1.65883, 0.000132, 0.323389, 2.3748, 
0, 0.000263, 0.525779, 2.64563, 
0, 0.000159, 0.340037, 2.17349, 
0, 0.000194, 0.29813, 2.2171, 
0, 0.000167, 0.329726, 2.37458, 
1.10452, 5.1e-05, 0.259672, 2.11589, 
0, 0.000151, 0.28862, 2.16603, 
0, 7e-05, 0.371565, 2.09225, 
0, 6.9e-05, 0.312571, 2.36805, 
0, 0.00025, 0.299896, 2.10752, 
1.13915, 0.000153, 0.308826, 2.27374, 
0, 0.000409, 0.30237, 2.10114, 
0, 0.000224, 0.262605, 2.08341, 
0, 0.000193, 0.269651, 2.49621, 
0, 0.000152, 0.323295, 2.14975, 
1.58901, 0.000304, 0.28727, 2.2743, 
0, 0.000205, 0.357057, 2.51994, 
0, 0.000231, 0.303415, 2.08737, 
0, 0.000168, 0.318247, 2.02788, 
0, 0.000206, 0.391633, 2.46865, 
0, 7.1e-05, 0.300484, 2.14922, 
1.12518, 0.000191, 0.266203, 2.00679, 
0, 0.000212, 0.270418, 1.97364, 
0, 0.000232, 0.296631, 2.09968, 
0, 0.000163, 0.24608, 1.93267, 
1.68108, 6.1e-05, 0.273131, 2.24127, 
0, 0.00026, 0.248468, 2.05169, 
0, 0.000194, 0.231971, 2.31124, 
0, 0.000145, 0.262523, 2.03023, 
0, 5.8e-05, 0.257969, 1.95818, 
1.13265, 0.000179, 0.153134, 1.09268, 
0, 5.1e-05, 0.27227, 2.05106, 
0, 0.000155, 0.236827, 1.9878, 
0, 6e-05, 0.239048, 2.02153, 
0, 0.00018, 0.242668, 2.02157, 
1.14518, 5.8e-05, 0.223229, 1.90746, 
0, 0.000233, 0.307273, 2.12944, 
0, 0.000153, 0.254271, 2.02539, 
0, 0.00019, 0.251275, 1.97809, 
0, 0.000151, 0.234767, 1.84971, 
1.22401, 0.000157, 0.632657, 1.96198, 
0, 0.000283, 0.339614, 2.02913, 
0, 0.000161, 0.362128, 1.96769, 
0, 4.4e-05, 0.559873, 1.82377, 
0, 0.000207, 0.603596, 2.08498, 
1.28117, 0.000537, 0.472785, 2.29676, 
0, 0.000147, 0.710044, 2.1416, 
0, 0.000161, 0.641742, 1.73259, 
0, 0.000178, 0.341336, 1.74259, 
0, 6.5e-05, 0.2731, 2.11164, 
1.33749, 0.000158, 0.281964, 2.20583, 
0, 0.000226, 0.293607, 1.96544, 
0, 0.000245, 0.250579, 1.96358, 
0, 0.000154, 0.255867, 1.90271, 
0, 4.3e-05, 0.254032, 1.96297, 
1.06677, 6e-05, 0.302157, 2.02307, 
0, 5.7e-05, 0.277908, 2.07107, 
0, 0.000237, 0.264591, 2.08823, 
0, 0.000318, 0.299407, 2.37303, 
0, 0.000155, 0.274783, 2.08581, 
1.05412, 0.00014, 0.279123, 2.04656, 
0, 0.000232, 0.267373, 1.92474, 
0, 3.4e-05, 0.253684, 2.02923, 
0, 0.000128, 0.268747, 2.07496, 
0, 0.000199, 0.319443, 2.12387, 
1.26704, 0.000199, 0.26084, 1.98057, 
0, 0.000337, 0.316518, 2.0267, 
0, 0.00017, 0.35318, 2.02046, 
0, 0.000162, 0.37482, 2.17803, 
0, 0.000128, 0.266031, 2.04846, 
1.27517, 0.000147, 0.269754, 2.26314, 
0, 0.000455, 0.307162, 2.71638, 
0, 0.000108, 0.267884, 3.40704, 
0, 0.000156, 0.262883, 4.89597, 
0, 5e-05, 0.26206, 2.0581, 
1.17362, 6.2e-05, 0.269202, 2.00021, 
0, 0.000172, 0.277678, 2.14956, 
0, 5e-05, 0.277429, 1.88546, 
0, 3.6e-05, 0.291454, 2.0177, 
0, 0.000157, 0.414049, 2.57628, 
1.22414, 4.8e-05, 0.359091, 1.89636, 
0, 4.4e-05, 0.294542, 1.76488, 
0, 0.000145, 0.26097, 1.79904, 
0, 3.8e-05, 0.259124, 1.76679, 
0, 0.000211, 0.172223, 1.63174, 
1.06855, 0.417549, 0.317164, 2.62635, 
0, 0.000311, 0.307217, 1.95387, 
0, 0.000236, 0.298499, 1.96375, 
0, 0.000139, 0.436241, 2.05412, 
0, 0.000188, 0.291014, 2.13799, 
1.28458, 0.813254, 0.58659, 2.12719, 
0, 0.000128, 0.255807, 1.99173, 
0, 0.000155, 0.357455, 2.16883, 
0, 0.000197, 0.275814, 2.00987, 
0, 0.000254, 0.390152, 2.29162, 
1.34018, 0.207244, 0.18838, 2.36387, 
0, 0.000235, 0.299625, 3.19034, 
0, 0.000145, 0.214525, 2.58639, 
0, 5.8e-05, 0.201099, 2.57872, 
0, 0.000161, 0.248997, 2.98663, 
1.22655, 0.193307, 0.189544, 2.54875, 
0, 3.6e-05, 0.212412, 2.82483, 
0, 0.000127, 0.227187, 2.79366, 
0, 0.000166, 0.348298, 3.25613, 
0, 0.000344, 0.291141, 2.71723, 
1.49133, 0.372221, 0.208004, 2.35737, 
0, 0.000154, 0.251028, 4.10635, 
0, 0.000141, 0.459592, 2.84636, 
0, 0.000182, 0.242763, 3.90309, 
0, 0.000177, 0.53403, 2.86732, 
1.32268, 0.447421, 0.299179, 2.78408, 
0, 0.000116, 1.08996, 2.34128, 
0, 0.000625, 0.50471, 2.37285, 
0, 0.000172, 0.271805, 2.09615, 
0, 0.000185, 0.715592, 2.25954, 
1.1498, 0.000199, 0.78413, 2.11456, 
0, 0.000448, 0.418968, 2.33792, 
0, 0.000126, 0.293094, 1.99754, 
0, 0.000178, 0.369148, 2.0301, 
0, 0.000999, 0.409412, 2.3464, 
1.35957, 4.4e-05, 0.643967, 2.05363, 
0, 0.000142, 0.34675, 2.35247, 
0, 0.000222, 0.45794, 2.31582, 
0, 0.000594, 0.549685, 2.48127, 
0, 0.000164, 0.322938, 2.15326, 
1.21221, 0.000159, 0.308574, 3.10194, 
0, 0.000214, 0.408917, 2.29909, 
0, 0.000213, 0.392289, 2.38266, 
0, 0.000158, 0.368704, 2.2626, 
0, 0.000162, 0.293588, 1.98849, 
1.26245, 0.532661, 0.621548, 4.64626, 
0, 0.000172, 0.291674, 3.55739, 
0, 0.000157, 0.493454, 3.60746, 
0, 0.000186, 0.358268, 4.27163, 
0, 0.00029, 0.319138, 4.09457, 
1.26899, 0.220902, 0.26281, 2.45456, 
0, 0.00015, 0.357652, 2.48382, 
0, 0.000404, 0.378467, 2.50001, 
0, 7.3e-05, 0.370677, 2.58367, 
0, 0.000142, 0.30901, 3.76071, 
0, 0.000189, 0.347283, 4.31716, 
1.61563, 0.249527, 0.364523, 2.74079, 
0, 0.000175, 0.328924, 3.20921, 
0, 0.000249, 0.394241, 4.3578, 
0, 0.000139, 0.319803, 3.99022, 
1.0779, 0.241812, 0.387897, 2.49226, 
0, 3.6e-05, 0.52962, 4.53358, 
0, 8.3e-05, 0.45457, 4.82695, 
0, 0.000275, 0.341978, 3.52836, 
0, 6.7e-05, 0.468955, 3.01051, 
1.04114, 0.234802, 0.492821, 3.85874, 
0, 0.001047, 0.755274, 6.39104, 
0, 0.000154, 0.468615, 5.20213, 
0, 0.000203, 0.566646, 4.14231, 
0, 0.000188, 0.423792, 5.55724, 
0, 7.4e-05, 0.426743, 6.34086, 
1.60792, 0.208833, 0.437621, 5.56601, 
0, 0.000213, 0.509076, 8.36101, 
0, 0.000206, 0.446959, 5.72997, 
0, 0.00019, 0.802782, 6.216, 
1.46929, 0.000144, 0.983804, 9.07376, 
0, 0.159871, 0.420176, 6.01563, 
0, 0.000183, 0.473185, 5.01627, 
0, 9e-05, 0.403174, 8.32465, 
0, 0.00023, 0.573889, 4.64302, 
1.2134, 0.165622, 0.387736, 3.94639, 
0, 0.000146, 0.409414, 5.23017, 
0, 7.4e-05, 0.404663, 3.95963, 
0, 0.000177, 0.366783, 4.10196, 
0, 0.000149, 0.42634, 5.75853, 
1.18476, 0.17619, 0.355249, 3.10087, 
0, 5.8e-05, 0.36982, 3.12626, 
0, 0.000181, 0.388431, 2.82875, 
0, 0.000134, 0.368599, 3.18283, 
0, 0.000181, 0.34938, 5.14229, 
1.36906, 0.229946, 0.386364, 4.22198, 
0, 0.000139, 0.397862, 4.27218, 
0, 0.000234, 0.393863, 5.3151, 
0, 0.000168, 0.383443, 4.91831, 
0, 0.000164, 0.597668, 4.96586, 
0, 0.000191, 0.805664, 3.70296, 
1.9264, 0.329331, 0.868578, 4.18214, 
0, 0.00026, 0.571636, 3.41574, 
0, 7.7e-05, 0.364633, 2.86803, 
0, 0.000171, 0.347219, 2.85647, 
1.68586, 0.264382, 0.497582, 3.40382, 
0, 5e-05, 0.375103, 2.88942, 
0, 0.000245, 0.72601, 3.27619, 
0, 0.000179, 0.668599, 3.61292, 
0, 0.000158, 0.397718, 4.21028, 
